,Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
21111,21112,1.5,Very Good,I,VS1,60.8,63.0,9281,7.37,7.41,4.49
13484,13485,1.2,Ideal,I,SI1,62.4,57.0,5535,6.75,6.8,4.23
12001,12002,1.01,Premium,H,VS1,61.6,57.0,5147,6.47,6.38,3.96
42985,42986,0.55,Ideal,I,SI1,61.3,56.0,1367,5.29,5.34,3.26
28835,28836,0.41,Premium,D,SI2,62.0,58.0,683,4.74,4.78,2.95
19550,19551,1.62,Premium,J,SI1,62.0,60.0,8183,7.52,7.44,4.64
18535,18536,1.51,Premium,J,VS2,59.6,60.0,7553,7.58,7.48,4.49
7298,7299,1.11,Very Good,I,SI2,61.1,58.0,4202,6.63,6.69,4.07
10765,10766,1.13,Ideal,D,SI2,61.6,55.0,4854,6.73,6.7,4.14
21688,21689,1.56,Ideal,I,SI1,62.5,54.0,9788,7.45,7.37,4.63
45310,45311,0.3,Premium,F,VS2,61.8,60.0,524,4.27,4.3,2.65
17366,17367,1.73,Premium,H,SI2,60.5,60.0,6968,7.79,7.71,4.69
649,650,0.81,Ideal,F,SI2,62.1,57.0,2843,5.91,5.95,3.68
42467,42468,0.52,Ideal,I,VVS2,62.2,57.0,1316,5.18,5.11,3.2
50151,50152,0.71,Premium,G,SI1,62.8,61.0,2215,5.64,5.59,3.53
23079,23080,1.31,Very Good,G,VVS2,62.2,59.0,11108,6.91,6.98,4.32
23974,23975,1.21,Ideal,E,VS1,61.7,56.0,12111,6.82,6.85,4.22
44707,44708,0.57,Ideal,E,SI1,62.2,57.0,1613,5.33,5.31,3.31
39185,39186,0.5,Very Good,G,SI2,63.3,57.0,1063,5.03,4.99,3.17
20326,20327,1.5,Very Good,F,VS2,63.4,61.0,8736,7.12,7.08,4.5
1070,1071,0.31,Premium,I,VS2,60.7,61.0,558,4.34,4.32,2.63
51922,51923,0.71,Very Good,E,VS2,63.2,57.0,2437,5.66,5.63,3.56
46645,46646,0.3,Very Good,E,SI1,62.1,60.0,526,4.27,4.29,2.66
667,668,0.7,Good,F,VS2,59.1,61.0,2846,5.76,5.84,3.43
53103,53104,0.83,Good,G,SI2,63.7,56.0,2614,5.92,5.95,3.78
32240,32241,0.43,Ideal,I,VS1,62.2,53.0,789,4.86,4.91,3.04
10396,10397,0.31,Very Good,G,SI1,63.1,59.0,593,4.33,4.29,2.72
38268,38269,0.3,Ideal,J,VS2,62.1,56.0,384,4.29,4.34,2.68
21769,21770,1.64,Premium,J,VS1,60.6,59.0,9836,7.67,7.61,4.63
48373,48374,0.57,Ideal,D,VS2,62.4,57.0,1963,5.32,5.26,3.3
21506,21507,1.54,Ideal,I,VS2,60.2,59.0,9600,7.52,7.57,4.54
36065,36066,0.38,Ideal,E,VS1,61.6,56.0,924,4.65,4.7,2.88
46356,46357,0.57,Premium,F,VS2,59.8,59.0,1760,5.4,5.37,3.22
7018,7019,1.05,Very Good,H,SI2,63.0,59.0,4158,6.44,6.48,4.07
18569,18570,1.02,Ideal,G,VS1,62.8,55.0,7574,6.45,6.41,4.04
43844,43845,0.58,Ideal,G,SI1,62.2,55.0,1446,5.33,5.37,3.33
35602,35603,0.31,Premium,H,VVS1,61.9,58.0,907,4.34,4.32,2.68
42977,42978,0.41,Ideal,E,VVS1,61.9,55.0,1367,4.78,4.79,2.96
238,239,0.71,Good,D,VS2,63.3,56.0,2788,5.64,5.68,3.58
32938,32939,0.37,Premium,E,VS2,61.5,58.0,811,4.61,4.66,2.85
17926,17927,1.01,Ideal,E,VS2,59.3,57.0,7240,6.57,6.51,3.88
36502,36503,0.41,Ideal,H,VVS1,61.5,55.0,945,4.79,4.81,2.95
21190,21191,1.61,Premium,H,SI1,61.4,58.0,9341,7.59,7.53,4.64
27325,27326,2.03,Ideal,H,SI1,60.8,57.0,17864,8.18,8.24,4.99
52825,52826,0.7,Good,F,SI1,58.7,64.0,2573,5.77,5.78,3.39
18564,18565,1.13,Ideal,H,VS1,61.6,55.0,7571,6.7,6.74,4.14
37808,37809,0.35,Ideal,G,IF,61.7,55.0,1001,4.52,4.55,2.8
9399,9400,1.03,Premium,F,SI2,61.4,57.0,4586,6.6,6.53,4.03
28602,28603,0.3,Ideal,E,SI1,61.9,57.0,675,4.33,4.29,2.67
34774,34775,0.41,Premium,D,SI2,62.0,58.0,876,4.78,4.74,2.95
34569,34570,0.31,Ideal,G,IF,61.0,55.0,871,4.39,4.42,2.69
12351,12352,1.01,Very Good,E,SI1,62.4,58.0,5229,6.36,6.4,3.99
33490,33491,0.32,Ideal,F,VS2,62.5,56.0,828,4.38,4.36,2.73
6094,6095,0.81,Ideal,E,VS2,61.5,57.0,3975,6.0,6.06,3.71
32287,32288,0.33,Ideal,G,SI1,61.8,54.0,453,4.46,4.5,2.77
25212,25213,1.51,Premium,G,VS1,62.5,58.0,13811,7.27,7.23,4.53
15945,15946,1.0,Ideal,G,VS1,62.6,56.0,6377,6.39,6.36,3.99
41797,41798,0.6,Very Good,E,SI2,63.2,60.0,1250,5.32,5.28,3.35
39064,39065,0.4,Ideal,G,VVS1,61.2,56.0,1059,4.74,4.8,2.92
19007,19008,1.21,Ideal,F,VS2,62.6,55.0,7826,6.8,6.75,4.24
10757,10758,1.12,Good,I,VS2,63.8,55.0,4853,6.63,6.57,4.21
33488,33489,0.32,Premium,F,VS2,61.0,61.0,828,4.41,4.38,2.68
6866,6867,0.91,Premium,H,VS2,62.8,58.0,4128,6.17,6.15,3.87
31733,31734,0.31,Ideal,G,VVS1,62.4,56.0,772,4.33,4.36,2.71
31264,31265,0.32,Good,H,SI1,63.1,55.0,449,4.34,4.37,2.75
14781,14782,1.21,Ideal,H,SI1,62.4,56.0,5948,6.85,6.8,4.26
25886,25887,1.19,Ideal,F,VVS1,61.5,55.0,15005,6.82,6.84,4.2
49045,49046,0.71,Good,H,SI1,63.4,54.0,2056,5.6,5.67,3.57
50460,50461,1.0,Premium,G,I1,59.0,60.0,2264,6.49,6.43,3.82
1935,1936,0.85,Ideal,G,SI1,62.0,54.0,3084,6.08,6.11,3.78
2144,2145,0.52,Ideal,E,VVS1,61.8,55.0,3125,5.2,5.19,3.21
20659,20660,2.01,Very Good,J,SI2,59.3,63.0,8949,8.28,8.22,4.89
33368,33369,0.41,Very Good,G,VS2,61.3,57.0,827,4.76,4.8,2.93
5716,5717,0.27,Very Good,E,VVS2,61.9,58.0,575,4.1,4.14,2.55
41330,41331,0.5,Good,H,VVS2,66.1,58.0,1214,4.87,4.9,3.23
19784,19785,1.13,Premium,E,VS1,61.1,59.0,8353,6.72,6.69,4.1
1786,1787,0.76,Ideal,H,SI1,61.3,55.0,3050,5.87,5.93,3.62
22168,22169,1.51,Ideal,E,SI2,62.5,57.0,10210,7.29,7.34,4.57
46284,46285,0.56,Premium,E,SI1,61.5,60.0,1755,5.27,5.3,3.25
50527,50528,0.75,Very Good,F,SI2,60.5,57.0,2274,5.88,5.95,3.58
2914,2915,0.8,Premium,F,VS2,59.7,58.0,3285,6.02,5.97,3.58
25140,25141,2.22,Ideal,J,SI2,62.8,57.0,13703,8.33,8.29,5.22
14427,14428,0.91,Very Good,D,VS2,59.6,58.0,5825,6.32,6.34,3.77
35745,35746,0.3,Ideal,D,VS2,62.8,57.0,911,4.29,4.25,2.68
2167,2168,0.72,Ideal,H,VS1,61.6,55.0,3133,5.76,5.8,3.56
52638,52639,0.24,Very Good,F,VVS2,62.0,58.0,552,3.95,3.98,2.46
7804,7805,0.9,Very Good,D,SI1,61.8,59.0,4291,6.13,6.16,3.8
41379,41380,0.59,Ideal,F,SI2,59.5,57.0,1221,5.5,5.54,3.28
6967,6968,0.92,Premium,D,SI2,62.5,55.0,4150,6.21,6.18,3.87
49220,49221,0.5,Good,G,IF,64.0,55.0,2081,5.08,5.05,3.24
9757,9758,1.23,Very Good,F,SI2,60.9,58.0,4661,6.93,6.96,4.23
